Stock,Fusion_Model,R2,RMSE,MSE,MAE
HDFCLIFE.NS,GARCH_pred+XGBoost,0.6921,0.0021,4e-06,0.0016
HDFCLIFE.NS,GARCH_pred+CatBoost,0.609,0.0024,6e-06,0.0018
HDFCLIFE.NS,GARCH_pred+AdaBoost,0.7052,0.0021,4e-06,0.0016
HDFCLIFE.NS,GARCH_pred+KNN,-0.0968,0.004,1.6e-05,0.0036
HDFCLIFE.NS,GJR_pred+RandomForest,0.7517,0.0019,4e-06,0.0015
HDFCLIFE.NS,GJR_pred+XGBoost,0.7105,0.002,4e-06,0.0016
HDFCLIFE.NS,GJR_pred+CatBoost,0.6837,0.0021,5e-06,0.0016
HDFCLIFE.NS,GJR_pred+AdaBoost,0.7156,0.002,4e-06,0.0015
HDFCLIFE.NS,GJR_pred+KNN,-0.0968,0.004,1.6e-05,0.0036
SBILIFE.NS,GARCH_pred+RandomForest,-5.6471,0.0006,0.0,0.0005
SBILIFE.NS,GARCH_pred+XGBoost,-4.3481,0.0005,0.0,0.0005
SBILIFE.NS,GARCH_pred+CatBoost,-7.0382,0.0006,0.0,0.0006
SBILIFE.NS,GARCH_pred+AdaBoost,-11.107,0.0008,1e-06,0.0008
SBILIFE.NS,GJR_pred+RandomForest,-6.9578,0.0006,0.0,0.0006
SBILIFE.NS,GJR_pred+XGBoost,-4.3481,0.0005,0.0,0.0005
SBILIFE.NS,GJR_pred+CatBoost,-7.4795,0.0007,0.0,0.0006
SBILIFE.NS,GJR_pred+AdaBoost,-11.107,0.0008,1e-06,0.0008
SBILIFE.NS,EGARCH_pred+RandomForest,-5.9246,0.0006,0.0,0.0006
SBILIFE.NS,EGARCH_pred+XGBoost,-4.3481,0.0005,0.0,0.0005
SBILIFE.NS,EGARCH_pred+CatBoost,-7.1947,0.0006,0.0,0.0006
SBILIFE.NS,EGARCH_pred+AdaBoost,-11.107,0.0008,1e-06,0.0008
UTIAMC.NS,GARCH_pred+RandomForest,0.1269,0.0017,3e-06,0.0013
UTIAMC.NS,GARCH_pred+XGBoost,-0.2196,0.002,4e-06,0.0016
UTIAMC.NS,GARCH_pred+CatBoost,0.2765,0.0015,2e-06,0.001
UTIAMC.NS,GARCH_pred+AdaBoost,0.3004,0.0015,2e-06,0.0011
UTIAMC.NS,GARCH_pred+KNN,-19.0613,0.0081,6.5e-05,0.0079
