Stock,Fusion_Model,R2,RMSE,MSE,MAE
601688.SS,EGARCH_pred+KNN,-0.0869,0.0045,2e-05,0.0036
000776.SZ,GARCH_pred+RandomForest,0.8839,0.002,4e-06,0.0015
000776.SZ,GARCH_pred+XGBoost,0.8186,0.0026,7e-06,0.0019
000776.SZ,GARCH_pred+CatBoost,0.6513,0.0035,1.3e-05,0.003
000776.SZ,GARCH_pred+AdaBoost,0.7527,0.003,9e-06,0.0024
000776.SZ,GARCH_pred+KNN,-2.1375,0.0106,0.000113,0.0092
000776.SZ,GJR_pred+RandomForest,0.8796,0.0021,4e-06,0.0016
000776.SZ,GJR_pred+XGBoost,0.8043,0.0027,7e-06,0.002
000776.SZ,GJR_pred+CatBoost,0.6194,0.0037,1.4e-05,0.0031
000776.SZ,GJR_pred+AdaBoost,0.7365,0.0031,9e-06,0.0025
000776.SZ,GJR_pred+KNN,-2.1375,0.0106,0.000113,0.0092
000776.SZ,EGARCH_pred+RandomForest,0.8906,0.002,4e-06,0.0015
000776.SZ,EGARCH_pred+XGBoost,0.8311,0.0025,6e-06,0.0019
000776.SZ,EGARCH_pred+CatBoost,0.5869,0.0039,1.5e-05,0.0032
000776.SZ,EGARCH_pred+AdaBoost,0.6915,0.0033,1.1e-05,0.0026
000776.SZ,EGARCH_pred+KNN,-2.1375,0.0106,0.000113,0.0092
