Stock,Fusion_Model,R2,RMSE,MSE,MAE
AV.L,EGARCH_pred+RandomForest,0.8539,0.0014,2e-06,0.0011
AV.L,EGARCH_pred+XGBoost,0.8028,0.0017,3e-06,0.0012
AV.L,EGARCH_pred+CatBoost,0.8373,0.0015,2e-06,0.0012
AV.L,EGARCH_pred+AdaBoost,0.6137,0.0023,5e-06,0.0021
AV.L,EGARCH_pred+KNN,-5.3393,0.0095,9e-05,0.0069
PHNX.L,GARCH_pred+RandomForest,0.8548,0.0014,2e-06,0.001
PHNX.L,GARCH_pred+XGBoost,0.8225,0.0016,2e-06,0.0011
PHNX.L,GARCH_pred+CatBoost,0.8616,0.0014,2e-06,0.001
PHNX.L,GARCH_pred+AdaBoost,0.6767,0.0021,4e-06,0.0017
PHNX.L,GARCH_pred+KNN,-2.823,0.0072,5.2e-05,0.0063
PHNX.L,GJR_pred+RandomForest,0.8773,0.0013,2e-06,0.0009
PHNX.L,GJR_pred+XGBoost,0.8556,0.0014,2e-06,0.001
PHNX.L,GJR_pred+CatBoost,0.8561,0.0014,2e-06,0.001
PHNX.L,GJR_pred+AdaBoost,0.6855,0.0021,4e-06,0.0017
PHNX.L,GJR_pred+KNN,-2.823,0.0072,5.2e-05,0.0063
PHNX.L,EGARCH_pred+RandomForest,0.8842,0.0013,2e-06,0.0009
PHNX.L,EGARCH_pred+XGBoost,0.87,0.0013,2e-06,0.001
PHNX.L,EGARCH_pred+CatBoost,0.8669,0.0014,2e-06,0.001
PHNX.L,EGARCH_pred+AdaBoost,0.6503,0.0022,5e-06,0.0018
PHNX.L,EGARCH_pred+KNN,-2.823,0.0072,5.2e-05,0.0063
LSEG.L,GARCH_pred+RandomForest,0.2576,0.0026,7e-06,0.0022
LSEG.L,GARCH_pred+XGBoost,0.0181,0.003,9e-06,0.0026
LSEG.L,GARCH_pred+CatBoost,-0.0327,0.0031,1e-05,0.0026
LSEG.L,GARCH_pred+AdaBoost,-1.2493,0.0045,2.1e-05,0.0042
LSEG.L,GARCH_pred+KNN,-0.53,0.0038,1.4e-05,0.0029
LSEG.L,GJR_pred+RandomForest,0.275,0.0026,7e-06,0.0022
LSEG.L,GJR_pred+XGBoost,0.0704,0.0029,9e-06,0.0025
LSEG.L,GJR_pred+CatBoost,0.0817,0.0029,8e-06,0.0025
LSEG.L,GJR_pred+AdaBoost,-1.5719,0.0049,2.4e-05,0.0045
